contactID,rep_name,stateID,rep_party,rep_pos
VA-ADonaldMcEachin,A.DonaldMcEachin,VA,,House
GA-ADrewFergusonIV,A.DrewFergusonIV,GA,,House
CA-AdamBSchiff,Adam Schiff,CA,D,House
#NAME?,Adam Schiff,CA,D,House
WA-AdamSmith,Adam Smith,WA,D,House
IL-AdamKinzinger,AdamKinzinger,IL,,House
NY-AdrianoEspaillat,Adriano D. Espaillat,NY,D,House
NE-AdrianSmith,AdrianSmith,NE,,House
MN-AlFranken,Al Franken,MN,D,Senate
#NAME?,Al Franken,MN,D,Senate
TX-AlGreen,Al Green,TX,,House
FL-AlLawsonJr,Al Lawson Jr,FL,,House
CA-AlanSLowenthal,AlanS.Lowenthal,CA,,House
NJ-AlbioSires,AlbioSires,NJ,,House
WV-AlexanderXMooney,AlexanderX.Mooney,WV,,House
NC-AlmaSAdams,AlmaS.Adams,NC,,House
CA-AmiBera,AmiBera,CA,,House
MN-AmyKlobuchar,Amy Klobuchar,MN,D,Senate
#NAME?,Amy Klobuchar,MN,D,Senate
IN-AndreCarson,AndreCarson,IN,,House
KY-AndyBarr,Andy Barr,KY,R,House
AZ-AndyBiggs,Andy Biggs,AZ,,House
MD-AndyHarris,Andy Harris,MD,,House
#NAME?,Andy Harris,MD,,House
ME-AngusSKingJr,Angus King,ME,I,Senate
NH-AnnMKuster,Ann McLane Kuster,NH,D,House
CA-AnnaGEshoo,Anna Eshoo,CA,D,House
MO-AnnWagner,AnnWagner,MO,,House
MD-AnthonyGBrown,AnthonyG.Brown,MD,,House
GA-AustinScott,AustinScott,GA,,House
CA-BarbaraLee,Barbara Lee,CA,D,House
VA-BarbaraComstock,BarbaraComstock,VA,,House
GA-BarryLoudermilk,BarryLoudermilk,GA,,House
MD-BenjaminLCardin,Ben Cardin,MD,D,Senate
#NAME?,Ben Cardin,MD,D,Senate
NM-BenRayLujan,Ben Lujan,NM,D,House
NE-BenSasse,Ben Sasse,NE,R,Senate
#NAME?,Ben Sasse,NE,R,Senate
MS-BennieGThompson,BennieG.Thompson,MS,,House
VT-BernardSanders,Bernie Sanders,VT,D,Senate
TX-BetoO'Rourke,BetoO'Rourke,TX,,House
MN-BettyMcCollum,Betty McCollum,MN,DFL,House
LA-BillCassidy,Bill Cassidy,LA,R,Senate
#NAME?,Bill Cassidy,LA,R,Senate
MI-BillHuizenga,Bill Huizenga,MI,,House
#NAME?,Bill Huizenga,MI,,House
FL-BillNelson,Bill Nelson,FL,D,Senate
#NAME?,Bill Nelson,FL,D,Senate
TX-BillFlores,BillFlores,TX,,House
IL-BillFoster,BillFoster,IL,,House
OH-BillJohnson,BillJohnson,OH,,House
NJ-BillPascrellJr,BillPascrellJr.,NJ,,House
PA-BillShuster,BillShuster,PA,,House
MO-BillyLong,BillyLong,MO,,House
MO-BlaineLuetkemeyer,BlaineLuetkemeyer,MO,,House
TX-BlakeFarenthold,BlakeFarenthold,TX,,House
PA-RobertABrady,Bob Brady,PA,D,House
PA-RobertPCaseyJr,Bob Casey Jr.,PA,D,Senate
#NAME?,Bob Casey Jr.,PA,D,Senate
TN-BobCorker,Bob Corker,TN,R,Senate
#NAME?,Bob Corker,TN,R,Senate
#NAME?,Bob Menendez,NJ,D,Senate
NJ-RobertMenendez,Bob Menendez,NJ,D,Senate
IL-BobbyLRush,BobbyL.Rush,IL,,House
OH-BobGibbs,BobGibbs,OH,,House
VA-BobGoodlatte,BobGoodlatte,VA,,House
NJ-BonnieWatsonColeman,BonnieWatsonColeman,NJ,,House
CA-BradSherman,Brad Sherman,CA,D,House
OH-BradRWenstrup,Brad Wenstrup,OH,R,House
AL-BradleyByrne,BradleyByrne,AL,,House
IL-BradleyScottSchneider,BradleyScottSchneider,IL,,House
MI-BrendaLLawrence,BrendaL.Lawrence,MI,,House
PA-BrendanFBoyle,BrendanF.Boyle,PA,,House
KY-BrettGuthrie,BrettGuthrie,KY,,House
PA-BrianKFitzpatrick,Brian Fitzpatrick,PA,R,House
HI-BrianSchatz,Brian Schatz,HI,D,Senate
TX-BrianBabin,BrianBabin,TX,,House
NY-BrianHiggins,BrianHiggins,NY,,House
ME-BrucePoliquin,BrucePoliquin,ME,,House
AR-BruceWesterman,BruceWesterman,AR,,House
MD-CADutchRuppersberger,C.A.DutchRuppersberger,MD,,House
NH-CarolShea-Porter,Carol Shea-Porter,NH,D,House
NY-CarolynBMaloney,Carolyn Maloney,NY,D,House
NV-CatherineCortezMasto,Catherine Cortez Masto,NV,D,Senate
WA-CathyMcMorrisRodgers,Cathy McMorris Rodgers,WA,R,House
#NAME?,Cathy McMorris Rodgers,WA,R,House
LA-CedricLRichmond,CedricL.Richmond,LA,,House
PA-CharlesWDent,CharlesW.Dent,PA,,House
ME-ChelliePingree,ChelliePingree,ME,,House
IL-CheriBustos,CheriBustos,IL,,House
DE-ChristopherACoons,Chris Coons,DE,D,Senate
CT-ChristopherMurphy,Chris Murphy,CT,D,Senate
UT-ChrisStewart,Chris Stewart,UT,R,House
MD-ChrisVanHollen,Chris Van Hollen,MD,D,Senate
NY-ChrisCollins,ChrisCollins,NY,,House
NJ-ChristopherHSmith,ChristopherH.Smith,NJ,,House
"TN-CharlesJ\Chuck\""Fleischmann""",Chuck Fleischmann,TN,,House
"-CharlesJ\Chuck\""Fleischmann""",Chuck Fleischmann,TN,R,House
IA-ChuckGrassley,Chuck Grassley,IA,R,Senate
#NAME?,Chuck Grassley,IA,R,Senate
#NAME?,Chuck Schumer,NY,D,House
NY-CharlesESchumer,Chuck Schumer,NY,D,Senate
MO-ClaireMcCaskill,Claire McCaskill,MO,D,Senate
#NAME?,Claire McCaskill,MO,D,Senate
NY-ClaudiaTenney,ClaudiaTenney,NY,,House
LA-ClayHiggins,ClayHiggins,LA,,House
HI-ColleenHanabusa,ColleenHanabusa,HI,,House
MN-CollinCPeterson,CollinC.Peterson,MN,,House
NJ-CoryABooker,Cory Booker,NJ,D,Senate
#NAME?,Cory Booker,NJ,D,Senate
CO-CoryGardner,Cory Gardner,CO,R,Senate
#NAME?,Cory Gardner,CO,,Senate
AK-DanielSullivan,Dan Sullivan,AK,R,Senate
AK-DanSullivan,Dan Sullivan,AK,R,Senate
CA-DanaRohrabacher,DanaRohrabacher,CA,,House
IL-DanielLipinski,DanielLipinski,IL,,House
NY-DanielMDonovanJr,DanielM.DonovanJr.,NY,,House
MI-DanielTKildee,DanielT.Kildee,MI,,House
WA-DanNewhouse,DanNewhouse,WA,,House
IL-DannyKDavis,Danny K. Davis,IL,D,House
IL-DarinLaHood,DarinLaHood,IL,,House
CA-DarrellEIssa,Darrell Issa,CA,R,House
FL-DarrenSoto,DarrenSoto,FL,,House
VA-DaveBrat,DaveBrat,VA,,House
IA-DavidLoebsack,David Loebsack,IA,D,House
GA-DavidPerdue,David Perdue,GA,R,Senate
#NAME?,David Perdue,GA,R,Senate
WA-DavidGReichert,David Reichert,WA,,House
#NAME?,David Reichert,WA,,House
TN-DavidPRoe,David Roe,TN,,House
#NAME?,David Roe,TN,,House
NC-DavidRouzer,David Rouzer,NC,,House
MI-DavidATrott,DavidA.Trott,MI,,House
WV-DavidBMcKinley,DavidB.McKinley,WV,,House
NC-DavidEPrice,DavidE.Price,NC,,House
CA-DavidGValadao,DavidG.Valadao,CA,,House
TN-DavidKustoff,DavidKustoff,TN,,House
RI-DavidNCicilline,DavidN.Cicilline,RI,,House
OH-DavidPJoyce,DavidP.Joyce,OH,,House
AZ-DavidSchweikert,DavidSchweikert,AZ,,House
GA-DavidScott,DavidScott,GA,,House
IA-DavidYoung,DavidYoung,IA,,House
NV-DeanHeller,Dean Heller,NV,R,Senate
#NAME?,Dean Heller,NV,R,Senate
NE-DebFischer,Deb Fischer,NE,R,Senate
#NAME?,Deb Fischer,NE,R,Senate
MI-DebbieDingell,Debbie Dingell,MI,D,House
MI-DebbieStabenow,Debbie Stabenow,MI,D,Senate
#NAME?,Debbie Stabenow,MI,D,Senate
#NAME?,DebbieDingell,MI,D,House
FL-DebbieWassermanSchultz,DebbieWassermanSchultz,FL,,House
FL-DennisARoss,DennisA.Ross,FL,,House
WA-DennyHeck,DennyHeck,WA,,House
WA-DerekKilmer,Derek Kilmer,WA,D,House
CA-DevinNunes,DevinNunes,CA,,House
CO-DianaDeGette,Diana DeGette,CO,D,House
TN-DianeBlack,DianeBlack,TN,,House
CA-DianneFeinstein,Dianne Feinstein,CA,D,Senate
#NAME?,Dianne Feinstein,CA,D,House
IL-RichardJDurbin,Dick Durbin,IL,D,Senate
#NAME?,Dick Durbin,IL,D,Senate
NV-DinaTitus,DinaTitus,NV,,House
NJ-DonaldMPayneJr,Donald Payne Jr.,NJ,D,House
NJ-DonaldNorcross,DonaldNorcross,NJ,,House
VA-DonaldSBeyerJr,DonaldS.BeyerJr.,VA,,House
NE-DonBacon,DonBacon,NE,,House
AK-DonYoung,DonYoung,AK,,House
CA-DorisOMatsui,DorisO.Matsui,CA,,House
CA-DougLaMalfa,Doug LaMalfa,CA,R,House
CO-DougLamborn,Doug Lamborn,CO,R,House
GA-DougCollins,DougCollins,GA,,House
CA-DuncanHunter,DuncanHunter,CA,,House
PA-DwightEvans,Dwight Evans,PA,D,House
OR-EarlBlumenauer,Earl Blumenauer,OR,D,House
#NAME?,Earl Blumenauer,OR,D,House
"GA-EarlL\Buddy\""Carter""","EarlL.\Buddy\""Carter""",GA,,House
