issue_id,issue_desc
recSWqDICerrEOUDC,Oppose Betsy DeVos
recj36jfXehe4RgCE,Reject Muslim Ban
recDDVHo6JXv9KYC6,Oppose Jeff Sessions
recNqspdW0JHxisu8,Reject Bannon to NSC
recyPsxELi8VZaixw,Immigrants
recYuW8ZYypb51LH6,Say No to Border Wall
recZSlsZHy08Ek7kz,Government Scientists
recJmPdZYf0LAkspE,Standing Rock
recjlaUIqNSp681yW,Oppose APA Repeal
recoqckdlWUDwBPh1,EPA
recAAOmrFivBzsj1R,Tom Price
recHTfZlt1bhYSp51,Voter Fraud
recdmM2dyJtQqUhhd,Oppose Neil Gorsuch
recnUz5jMgfk4Gawv,Maintain Cardin-Lugar
recunp9YSC8g0nfAs,Sally Yates
recCMiqmWLNal8Ccc,Rex Tillerson
recCsIE0hMmHWHpoM,Healthcare
recblIUunz1KTxiQt,Warren's Conflict Act
recvsnmbTZdSu4esg,Financial Conflicts
recz0nqjcVFKpV1Zl,Presidential Accountability Act
rec3Za9zmsQ585rla,No Registry Act
recFAahrcOuDqoITu,Trump Conflict of Interest
rec4NgVFaClUEBB0u,ACA
recgDaCw95QvPBIsO,Approval Rules
